Date,XOM_Close,XOM_Volume,Crude_Close,Crude_Volume,XLE
12/27/2000,43.875,10437800,26.47,34003,33.3125
12/28/2000,43.4375,10854600,25.85,34439,33.859379
12/29/2000,43.46875,9564000,26.8,35529,33.1875
1/2/2001,44.5625,13101200,27.21,52321,33.265621
1/3/2001,42.625,20818000,28,66628,32.25
1/4/2001,41.4375,24566800,28.14,74383,31.25
1/5/2001,41.625,18777800,27.95,63852,31.921881
1/8/2001,41.4375,11058800,27.32,76058,31.8125
1/9/2001,41,11523600,27.64,69916,31.171881
1/10/2001,40.5,20620600,29.48,93000,31.375
1/11/2001,40.875,10989200,29.41,67374,31.71875
1/12/2001,41.40625,11894600,30.05,47023,31.515619
1/16/2001,40.90625,15606600,30.29,66392,31.5
1/17/2001,40.125,14723400,29.6,75568,31.34375
1/18/2001,39.5625,17205000,30.45,44842,30.75
1/19/2001,39.71875,20292200,32.19,42815,30.609381
1/22/2001,40.125,13861600,29.8,92401,30.9375
1/23/2001,40.90625,11131600,29.57,73113,31.421881
1/24/2001,40.8125,12859800,29.05,91773,31.390619
1/25/2001,41.25,13595000,29.36,61551,32.328121
1/26/2001,40.5,11860000,29.77,53751,31.78125
1/29/2001,40.099998,10545800,29.06,64714,31.52
1/30/2001,40.990002,9700400,29.06,55220,31.790001
1/31/2001,42.075001,17017600,28.66,85659,32.130001
2/1/2001,41.744999,9116600,29.82,77052,31.719999
2/2/2001,41.494999,10397600,31.19,79001,32.25
2/5/2001,42.400002,10757400,30.55,67618,32.900002
2/6/2001,42.169998,10953000,30.35,57981,33.110001
2/7/2001,42.18,11624800,31.27,85694,33.200001
2/8/2001,42.25,9898800,31.59,68125,33.380001
2/9/2001,42.93,10768000,31.03,55244,33.919998
2/12/2001,42.880001,8320200,30.51,69227,33.470001
2/13/2001,42.395,9300800,30.36,85072,33.400002
2/14/2001,41.965,13480200,29.71,89483,33.16
2/15/2001,41.25,13022400,28.8,73627,32.73
2/16/2001,42.009998,13480000,29.16,41379,33.02
2/20/2001,41.900002,7721600,28.58,41379,32.830002
2/21/2001,41.759998,8660400,28.53,55059,32.610001
2/22/2001,42.105,9965000,28.82,86691,32.450001
2/23/2001,41.75,10157800,29.04,61454,32.040001
2/26/2001,41.900002,9690400,28.42,62142,32.389999
2/27/2001,41.150002,13944600,28.13,95832,32.189999
2/28/2001,40.525002,11591200,27.39,82364,31.74
3/1/2001,40.700001,12507400,27.62,62801,32.099998
3/2/2001,41.605,10093800,27.84,61545,32.830002
3/5/2001,41.924999,10030200,28.6,49216,33.009998
3/6/2001,41.799999,9572400,28.32,50980,33.18
3/7/2001,42.105,10331400,29,86394,33.889999
3/8/2001,42.924999,11167600,28.39,80771,34.23
3/9/2001,42.994999,10905800,28.01,57964,34.07
3/12/2001,41.880001,11102000,28,54249,32.939999
3/13/2001,41.650002,11603600,27.59,54249,32.549999
3/14/2001,41.32,11598800,26.41,84086,32.060001
3/15/2001,41.474998,13140200,26.55,69457,32.080002
3/16/2001,40.849998,21222200,26.74,54833,31.450001
3/19/2001,40.630001,11753000,26.15,54883,31.85
3/20/2001,40.330002,11128800,25.96,54883,32.130001
3/21/2001,39.904999,11964800,26.8,80284,31.209999
3/22/2001,38.849998,18738000,26.54,74305,30.290001
3/23/2001,38.450001,17656800,27.3,69876,30.530001
3/26/2001,39.125,14797200,27.48,52637,30.93
3/27/2001,40.32,14715800,27.75,75766,31.1
3/28/2001,39.325001,11226800,26.31,105169,30.65
3/29/2001,39.145,9389000,26.32,86983,30
3/30/2001,40.5,13186600,26.29,63947,30.700001
4/2/2001,39.799999,13300400,25.59,55182,30.129999
4/3/2001,38.950001,14200800,26.19,74089,29.299999
4/4/2001,39.349998,11742600,27.12,77935,29.82
4/5/2001,40.465,11078400,27.26,80086,30.6
4/6/2001,41.049999,12139000,27.06,46546,30.639999
4/9/2001,41.255001,11913800,27.28,59981,31.360001
4/10/2001,42,12221600,28.48,87333,31.9
4/11/2001,40.970001,14246800,28.18,60599,31.33
4/12/2001,41,10998400,28.25,61083,31.66
4/16/2001,42.275002,11912600,28.79,54348,32.279999
4/17/2001,42.355,14030600,28.24,58990,32.450001
4/18/2001,42.564999,16537800,27.95,73590,32.279999
4/19/2001,42.224998,13994000,27.82,49915,31.719999
4/20/2001,42.584999,12165800,27.28,49915,32.060001
4/23/2001,44,16205800,27.61,59963,32.91
4/24/2001,43.744999,14400800,26.86,76352,32.970001
4/25/2001,44.544998,15461200,27.29,65944,33.439999
4/26/2001,44.424999,13923000,28.44,77569,34.099998
4/27/2001,44.529999,9939800,28.27,57334,33.869999
4/30/2001,44.299999,15066600,28.46,40223,33.869999
5/1/2001,44.400002,9711600,28.94,57564,33.650002
5/2/2001,43.25,16951600,27.8,69856,32.34
5/3/2001,43.049999,13183800,28.45,68101,32.18
5/4/2001,43.775002,9690000,28.36,49654,32.689999
5/7/2001,44.095001,10081400,27.77,56162,32.779999
5/8/2001,44.369999,11055000,27.39,57551,32.75
5/9/2001,44.860001,10886200,28.23,81008,33.330002
5/10/2001,44.049999,10117200,28.52,66192,33.09
5/11/2001,43.82,8956400,28.55,51638,32.77
5/14/2001,44.529999,9779400,28.71,55538,33.279999
5/15/2001,44.724998,9016800,28.98,50905,33.580002
5/16/2001,44.75,16337000,28.86,62822,33.860001
